issued,number,name,species,breed
January 05 2000,119820,Fancy,Dog,"Retriever, Labrador"
January 06 2000,10401,Skip,Dog,Siberian Husky
January 12 2000,941592,Kanga,Dog,German Shepherd
January 24 2000,422763,Oscar,Dog,"Retriever, Golden"
January 29 2000,64456,Cassie,Dog,"Retriever, Golden"
January 31 2000,264578,Mation,Dog,"Retriever, Labrador"
February 05 2000,2158,Casey,Dog,"Spaniel, American Cocker"
February 08 2000,337506,Bandit,Dog,Terrier
February 08 2000,337711,Osa,Dog,"Retriever, Labrador"
February 09 2000,56345,Jewel Ruby,Dog,Pug
February 14 2000,337263,Zoey,Dog,"Schnauzer, Miniature"
February 16 2000,65363,Annie,Dog,Terrier
February 17 2000,64209,Cleo,Dog,"Terrier, American Pit Bull"
February 26 2000,64601,Betsy,Dog,Beagle
March 02 2000,708094,Princess,Dog,Dalmatian
March 14 2000,807789,Poppy,Dog,Miniature Pinscher
March 20 2000,121134,Mollie,Dog,"Retriever, Labrador"
March 20 2000,121135,Moonie,Dog,"Retriever, Labrador"
March 25 2000,886772,Maggie Mae,Dog,Basset Hound
April 02 2000,812609,Paloma,Dog,German Shepherd
April 09 2000,421577,Tequila,Dog,Rottweiler
April 15 2000,195831,Nicky,Dog,Rottweiler
April 27 2000,196007,Lucky,Dog,"Terrier, Yorkshire"
May 13 2000,337800,Calley,Dog,"Retriever, Labrador"
May 13 2000,193628,Emily,Dog,German Shepherd
May 20 2000,8530,Charlie,Dog,Rottweiler
May 23 2000,886526,Nina,Dog,Rottweiler
June 14 2000,331232,Jessie,Dog,"Retriever, Labrador"
June 15 2000,264401,Puddles,Dog,Brittany
June 22 2000,944778,Shadow,Dog,Doberman Pinscher
July 08 2000,10399,Goldie,Dog,Rottweiler
July 15 2000,561068,Auggie,Dog,Australian Cattle Dog
July 19 2000,425269,Malecah,Dog,Belgian Sheepdog
July 20 2000,421809,Tasha,Dog,"Retriever, Golden"
July 26 2000,888411,Cocoa,Dog,"Retriever, Golden"
August 05 2000,336933,Elsamore,Dog,"Retriever, Labrador"
August 05 2000,337020,Chelsea,Dog,"Retriever, Golden"
August 05 2000,65718,Naha,Dog,German Shepherd
August 05 2000,561031,Suzy,Dog,Beagle
August 10 2000,565492,Sasha,Dog,Border Collie
August 17 2000,264580,Tiera,Dog,Rottweiler
August 19 2000,65746,Cinnamon,Dog,"Terrier, American Pit Bull"
August 19 2000,65747,Brown Sugar,Dog,Rottweiler
August 22 2000,65749,Shayshay,Dog,"Terrier, American Pit Bull"
August 30 2000,707306,Coo,Dog,"Poodle, Miniature"
August 30 2000,420184,Muffie,Dog,"Poodle, Miniature"
September 07 2000,337276,Emily,Dog,"Spaniel, Welsh Springer"
September 08 2000,709990,Mocha,Dog,Lhasa Apso
September 23 2000,812506,Ripley,Dog,German Shepherd
September 23 2000,814090,Natasha,Dog,Australian Cattle Dog
October 04 2000,814333,Molly,Dog,"Retriever, Labrador"
October 05 2000,819209,Belle,Dog,Border Collie
October 18 2000,812668,G-Cloud,Dog,"Terrier, American Pit Bull"
October 27 2000,818389,Misty,Dog,American Eskimo
October 31 2000,886609,Dee,Dog,"Retriever, Labrador"
November 05 2000,888989,Boo,Dog,Terrier
November 11 2000,807674,Zoe,Dog,"Retriever, Labrador"
November 16 2000,807676,Spunky,Dog,Pekingese
November 17 2000,336648,Pepper,Dog,"Retriever, Labrador"
November 20 2000,889439,Nina,Dog,Shepherd
November 25 2000,814327,Pooka,Dog,"Terrier, Yorkshire"
November 25 2000,814302,Nika,Dog,Great Dane
November 25 2000,814301,Paco,Dog,"Dachshund, Standard Smooth Haired"
November 25 2000,944555,Zoe,Dog,"Dachshund, Standard Smooth Haired"
November 25 2000,118667,Schatzie,Dog,"Schnauzer, Miniature"
November 28 2000,889490,Gracie,Dog,Australian Cattle Dog
December 09 2000,331878,Piper,Dog,German Shepherd
December 14 2000,264572,Sam,Dog,Boxer
December 14 2000,1363,Mattie,Dog,"Retriever, Labrador"
December 21 2000,9700,Boots,Dog,"Poodle, Miniature"
December 21 2000,945901,Luna,Dog,Xoloitzcuintli
December 23 2000,561252,Anne,Dog,"Terrier, Boston"
December 31 2000,707196,Hantos,Dog,Rottweiler
January 02 2001,119168,Billie,Dog,"Welsh Corgi, Pembroke"
January 11 2001,411868,Ginger,Dog,Rottweiler
January 11 2001,886901,Marlee,Dog,"Retriever, Labrador"
January 12 2001,713019,Muffin,Dog,Chinese Shar-Pei
January 17 2001,338120,Biku,Dog,Chow Chow
January 19 2001,11362,Buddy,Dog,Bullmastiff
January 29 2001,64445,Angel,Dog,Terrier
February 02 2001,565889,Mokie,Dog,"Retriever, Labrador"
February 02 2001,565890,Sheba,Dog,Dogue de Bordeaux
February 11 2001,565575,Nora,Dog,Terrier
February 28 2001,120804,Falina,Dog,Dalmatian
February 28 2001,10029,Mojo,Dog,"Retriever, Golden"
March 02 2001,943321,Chloe,Dog,"Poodle, Miniature"
March 03 2001,124523,Olga,Dog,Rottweiler
March 13 2001,124689,Canelle,Dog,Leonberger
March 20 2001,10079,Rufus,Dog,"Retriever, Labrador"
March 20 2001,814467,Levi,Dog,"Retriever, Labrador"
March 31 2001,196204,Magdiline,Dog,Xoloitzcuintli
March 31 2001,196205,Natasha,Dog,Xoloitzcuintli
April 02 2001,195873,Arlo,Dog,"Retriever, Golden"
April 06 2001,331630,ISIS,Dog,Rhodesian Ridgeback
April 08 2001,818273,Goldie,Dog,"Spaniel, American Cocker"
April 26 2001,10717,Zoe,Dog,"Collie, Rough"
April 27 2001,819344,Reyna,Dog,"Collie, Rough"
May 22 2001,119210,Tam,Dog,Weimaraner
June 17 2001,421210,Godzilla,Dog,"Terrier, Yorkshire"
June 24 2001,340626,Kemondorex,Dog,Xoloitzcuintli
June 28 2001,340657,Tito,Dog,"Dachshund, Standard Smooth Haired"
June 29 2001,340391,Bella,Dog,Boxer
July 05 2001,338865,Isabel,Dog,Brittany
July 05 2001,708400,Cali,Dog,"Retriever, Labrador"
July 06 2001,121462,Trouble,Dog,"Terrier, American Pit Bull"
July 10 2001,10970,Echo,Dog,"Welsh Corgi, Cardigan"
July 27 2001,420774,Xio Xin,Dog,Chow Chow
August 16 2001,421458,Missy,Dog,Shetland Sheepdog
August 27 2001,707986,Keta,Dog,Shepherd
August 27 2001,712253,Bridget,Dog,Lhasa Apso
September 07 2001,559662,Cocoa,Dog,"Terrier, Jack Russell"
September 11 2001,712514,Coyote,Dog,"Welsh Corgi, Cardigan"
September 19 2001,125190,Sadie,Dog,Xoloitzcuintli
September 21 2001,812667,Zoe,Dog,Whippet
October 04 2001,819346,D.O.G.,Dog,Chow Chow
October 06 2001,716667,Sophie,Dog,"Retriever, Golden"
October 19 2001,338471,Beijoca,Dog,Xoloitzcuintli
October 31 2001,716561,Kali,Dog,"Retriever, Labrador"
November 10 2001,8620,Samantha,Dog,"Retriever, Labrador"
November 15 2001,893041,Nori,Dog,"Welsh Corgi, Cardigan"
November 21 2001,893094,Hannah,Dog,Chow Chow
December 26 2001,337037,Mitzi,Dog,Terrier
January 08 2002,425775,Kira,Dog,"Retriever, Labrador"
January 11 2002,561994,Kali,Dog,"Retriever, Labrador"
January 29 2002,15019,Sammie,Dog,"Spaniel, American Cocker"
January 31 2002,945798,Sasha,Dog,Siberian Husky
February 10 2002,809321,Jessie,Dog,German Shepherd
February 14 2002,64881,Bodie,Dog,"Terrier, Jack Russell"
February 19 2002,566701,Tootsie,Dog,"Spaniel, American Cocker"
February 26 2002,63923,Maggie Mae,Dog,"Retriever, Labrador"
March 16 2002,194385,Rosie,Dog,"Retriever, Golden"
March 23 2002,118846,Brownny,Dog,Miniature Pinscher
April 01 2002,818839,Lady,Dog,"Chihuahua, Short Coat"
April 09 2002,818856,Little Bit,Dog,"Retriever, Labrador"
April 13 2002,256658,Mika Kaely,Dog,Boxer
April 16 2002,938283,Nautica,Dog,"Retriever, Labrador"
April 16 2002,195470,Pepper,Dog,"Retriever, Golden"
April 16 2002,266063,Ruby,Dog,Shepherd
April 30 2002,264298,Athena,Dog,Rottweiler
April 30 2002,256384,Jessie,Dog,German Shepherd
May 09 2002,337736,Godiva,Dog,Samoyed
May 10 2002,10732,Hana,Dog,Bullmastiff
May 23 2002,269994,Molly,Dog,"Retriever, Labrador"
June 02 2002,339502,Chelsea,Dog,"Retriever, Labrador"
June 05 2002,125205,Jade,Dog,"Terrier, American Pit Bull"
June 10 2002,256262,Bandit,Dog,Terrier
June 20 2002,343235,Buttercup,Dog,Boxer
June 22 2002,420075,Ella,Dog,"Terrier, Border"
June 26 2002,343281,Brinda,Dog,"Terrier, American Pit Bull"
July 18 2002,888298,Sassy,Dog,Pekingese
July 24 2002,426975,Java,Dog,"Retriever, Golden"
July 25 2002,426848,Lucy,Dog,Pug
July 26 2002,426873,Lucy,Dog,"Retriever, Labrador"
July 27 2002,338041,Tango,Dog,Australian Shepherd
July 27 2002,426889,Champion,Dog,"Retriever, Golden"
July 28 2002,560092,Uma,Dog,German Shepherd
August 14 2002,570637,Bobean,Dog,Siberian Husky
September 07 2002,701200,Beatrice,Dog,Bichon Frise
September 07 2002,64324,Luna,Dog,"Terrier, American Pit Bull"
September 13 2002,709986,Alecia,Dog,Greyhound
September 14 2002,814434,Max,Dog,Rottweiler
September 14 2002,814433,Bailey,Dog,Rottweiler
September 20 2002,717439,Zooey,Dog,"Retriever, Labrador"
September 26 2002,192339,Helga,Dog,Boxer
September 27 2002,422813,Nikita,Dog,Rottweiler
October 12 2002,265874,Kayla,Dog,Rottweiler
October 26 2002,889142,Hayla,Dog,German Shepherd
November 02 2002,814322,Kiska,Dog,Alaskan Malamute
November 09 2002,338031,Emma,Dog,German Shepherd
November 22 2002,889721,Mya,Dog,"Retriever, Golden"
November 25 2002,270058,Kali Ma,Dog,Border Collie
November 26 2002,119822,Hannah,Dog,Basset Hound
November 30 2002,561234,Libby,Dog,"Terrier, Jack Russell"
December 21 2002,883354,Ginger,Dog,Xoloitzcuintli
February 01 2003,15821,Sally,Dog,"Retriever, Golden"
February 02 2003,15828,Koa,Dog,Rottweiler
February 08 2003,265044,Skylar,Dog,Bernese Mountain Dog
February 12 2003,561226,Fisty,Dog,Chow Chow
March 03 2003,70830,Freya,Dog,Shepherd
March 11 2003,717787,Brownie,Dog,Akita
March 14 2003,717799,Sug,Dog,Chinese Shar-Pei
March 30 2003,716691,Shadow,Dog,Rottweiler
March 30 2003,716692,Sheeba,Dog,Rottweiler
April 19 2003,124657,Lucy,Dog,Spaniel
April 19 2003,118693,Madison,Dog,Rottweiler
July 13 2003,561021,Jazz,Dog,"Poodle, Miniature"
August 04 2003,421929,Sue,Dog,"Retriever, Labrador"
August 27 2003,422032,Sissy,Dog,"Retriever, Labrador"
August 29 2003,264271,Cloe,Dog,"Bulldog, English"
September 09 2003,716873,Delaney,Dog,"Retriever, Golden"
September 09 2003,560709,Maddy,Dog,"Retriever, Golden"
September 11 2003,118874,Kira,Dog,German Shepherd
October 09 2003,701359,Molly,Dog,"Retriever, Labrador"
October 16 2003,807221,Bill,Dog,"Retriever, Labrador"
November 19 2003,570636,Snickers,Dog,"Retriever, Chesapeake Bay"
December 06 2003,256478,Pimples,Dog,"Terrier, American Pit Bull"
December 11 2003,886754,Maddi,Dog,"Poodle, Miniature"
December 11 2003,946651,Jubal,Dog,Siberian Husky
January 30 2004,431829,Sincere,Dog,"Terrier, American Pit Bull"
February 04 2004,S109299,Chivja,Dog,Saint Bernard
February 04 2004,9534,Abby,Dog,"Retriever, Labrador"
February 14 2004,71274,Glory,Dog,Australian Cattle Dog
March 16 2004,125804,Penny,Dog,"Retriever, Labrador"
March 20 2004,127050,Bava,Dog,Mastiff
April 03 2004,61290,Daphne,Dog,"Retriever, Labrador"
April 10 2004,201972,Fannie Mae,Dog,Border Collie
April 10 2004,201973,Sadie Louise,Dog,Border Collie
April 15 2004,70797,Chewie,Dog,Rottweiler
April 17 2004,202085,JoJo,Dog,Shih Tzu
April 20 2004,111368,Olive,Dog,Portuguese Water Dog
April 27 2004,202228,Blue,Dog,Australian Cattle Dog
May 26 2004,64909,Sugar,Dog,Bulldog
June 25 2004,344350,Parker,Dog,"Retriever, Labrador"
June 29 2004,946882,Cocoa,Dog,Rottweiler
July 08 2004,431913,Roxanne,Dog,Rottweiler
July 08 2004,431917,Aubrey,Dog,"Retriever, Chesapeake Bay"
July 16 2004,419606,Kali,Dog,Bernese Mountain Dog
July 17 2004,125424,Georgette,Dog,"Poodle, Standard"
August 08 2004,422633,Maggie,Dog,"Retriever, Labrador"
September 12 2004,337960,Molly,Dog,"Retriever, Labrador"
October 12 2004,422701,Ruby,Dog,"Retriever, Labrador"
October 20 2004,716564,Phoebe,Dog,Akita
November 16 2004,723662,Buttons,Dog,Dalmatian
November 23 2004,282561,Saffron,Dog,"Terrier, Boston"
January 07 2005,11051,Osa,Dog,"Terrier, American Pit Bull"
March 22 2005,130787,Lady,Dog,"Terrier, American Pit Bull"
March 23 2005,130032,Bubbles,Dog,"Retriever, Chesapeake Bay"
March 24 2005,130920,Bella,Dog,"Retriever, Golden"
March 26 2005,131003,Cola,Dog,"Dachshund, Standard Smooth Haired"
May 19 2005,201967,Baker,Dog,Brittany
June 05 2005,347819,Jewell,Dog,"Terrier, American Pit Bull"
June 10 2005,265976,Molly,Dog,"Retriever, Labrador"
June 16 2005,345684,Emma,Dog,"Poodle, Toy"
June 29 2005,951837,Sheba,Dog,"Terrier, American Pit Bull"
June 30 2005,125389,Lucy,Dog,Weimaraner
July 11 2005,895475,Clara,Dog,"Retriever, Labrador"
July 13 2005,576304,Sky,Dog,Siberian Husky
July 14 2005,432677,Supper,Dog,"Dachshund, Standard Smooth Haired"
August 02 2005,572801,Tilley,Dog,Terrier
August 11 2005,201935,Misha,Dog,German Shepherd
August 26 2005,719683,Hazel,Dog,Bernese Mountain Dog
September 03 2005,719951,Zoe,Dog,"Terrier, American Pit Bull"
September 06 2005,560974,Carrie,Dog,Chow Chow
September 11 2005,717955,Biscuit,Dog,"Bulldog, American"
September 13 2005,721061,Jasmine,Dog,Rottweiler
September 14 2005,721041,Molly,Dog,"Terrier, Yorkshire"
September 17 2005,721217,Bellei,Dog,"Spaniel, American Cocker"
September 17 2005,944325,Clover,Dog,"Retriever, Golden"
October 17 2005,819228,Sheba,Dog,German Shepherd
November 09 2005,271996,Seren,Dog,Terrier
November 16 2005,707709,Jazzmine,Dog,Samoyed
December 09 2005,954738,Sasha,Dog,Rottweiler
December 10 2005,954732,Lena,Dog,"Retriever, Labrador"
December 20 2005,954866,Angel,Dog,"Terrier, American Staffordshire"
December 21 2005,894316,Lyna,Dog,Xoloitzcuintli
December 22 2005,950571,Olive,Dog,"Pointer, German Shorthaired"
December 31 2005,951925,Madison,Dog,"Terrier, American Pit Bull"
January 26 2006,19796,Molly,Dog,"Chihuahua, Short Coat"
February 17 2006,75391,Michaena,Dog,Alaskan Malamute
March 08 2006,131654,Lily,Dog,"Spaniel, Cavalier King Charles"
March 09 2006,895445,Zuzu,Dog,German Shepherd
March 21 2006,205250,Midnight,Dog,Shih Tzu
March 22 2006,71410,Madonna,Dog,"Dachshund, Standard Smooth Haired"
March 22 2006,126728,Casey,Dog,Havanese
March 23 2006,15829,Shady,Dog,"Terrier, American Pit Bull"
March 25 2006,137742,Jasmine,Dog,Affenpinscher
April 03 2006,951847,Lady,Dog,Siberian Husky
April 13 2006,193501,Katie,Dog,"Retriever, Labrador"
June 04 2006,348613,Nicki,Dog,Shetland Sheepdog
June 07 2006,348664,Diamond,Dog,"Terrier, American Pit Bull"
June 18 2006,348881,Dotty,Dog,Australian Cattle Dog
June 21 2006,348887,Joelyn,Dog,"Retriever, Golden"
June 23 2006,348973,Cali,Dog,"Welsh Corgi, Cardigan"
June 26 2006,269540,Rosie,Dog,"Retriever, Labrador"
June 26 2006,352074,Pinduli,Dog,"Chihuahua, Short Coat"
June 28 2006,340272,Libelula,Dog,Xoloitzcuintli
July 01 2006,435472,Flash,Dog,Basset Hound
July 11 2006,421215,Belle,Dog,"Retriever, Labrador"
July 13 2006,344361,Molly,Dog,"Spaniel, Welsh Springer"
July 17 2006,436123,Hero,Dog,Shetland Sheepdog
July 17 2006,436116,Mojo,Dog,"Retriever, Labrador"
July 19 2006,426434,Cali,Dog,"Terrier, American Pit Bull"
July 20 2006,435784,Jasmine,Dog,Bichon Frise
July 29 2006,436184,Fidel,Dog,"Terrier, Norwich"
July 31 2006,571314,Zap,Dog,German Shepherd
August 01 2006,575222,Asha,Dog,Beagle
August 01 2006,575223,Daisy,Dog,Siberian Husky
August 16 2006,562913,Tess,Dog,"Retriever, Labrador"
August 17 2006,432249,Phoebe,Dog,Hound
August 18 2006,575594,Luca,Dog,Miniature Pinscher
August 18 2006,944921,Brandy,Dog,"Dachshund, Standard Smooth Haired"
August 24 2006,566046,Kelly,Dog,Pomeranian
August 24 2006,64391,Shishi,Dog,Xoloitzcuintli
August 27 2006,575759,Lucy,Dog,Border Collie
September 10 2006,132373,Karma,Dog,"Terrier, American Pit Bull"
September 26 2006,712101,Precious,Dog,Maltese
September 28 2006,572906,Misty,Dog,"Dachshund, Standard Smooth Haired"
October 09 2006,826884,Lila,Dog,Rottweiler
October 18 2006,206953,Sasha,Dog,Border Collie
October 19 2006,826324,Cupcake,Dog,"Terrier, Yorkshire"
October 25 2006,132384,Bailey,Dog,Bernese Mountain Dog
November 06 2006,814066,Pebbles,Dog,Pomeranian
November 13 2006,275358,Dc,Dog,Xoloitzcuintli
November 14 2006,439557,Neko,Dog,"Terrier, American Staffordshire"
November 16 2006,18184,MURPHY,Dog,Pug
December 05 2006,955535,Darby,Dog,"Retriever, Labrador"
December 06 2006,959078,Lady,Dog,Doberman Pinscher
December 08 2006,19585,Luna,Dog,Terrier
December 10 2006,959600,Onyx,Dog,"Retriever, Labrador"
December 11 2006,125893,Sweetie,Dog,"Retriever, Labrador"
December 17 2006,955623,Baby,Dog,"Retriever, Labrador"
December 20 2006,951638,Beulah,Dog,Spaniel
December 20 2006,132457,Molly,Dog,"Retriever, Labrador"
December 30 2006,898461,Baby,Dog,"Terrier, American Pit Bull"
December 31 2006,955861,Dakota,Dog,Chow Chow
January 11 2007,20289,Lily,Dog,German Shepherd
January 17 2007,9570,Rudy,Dog,"Bulldog, American"
January 17 2007,439549,Calypso,Dog,"Poodle, Standard"
January 22 2007,20701,Bella,Dog,Boxer
January 25 2007,20805,Gypsy,Dog,Border Collie
January 29 2007,18039,Sara,Dog,"Retriever, Golden"
January 29 2007,576136,Lite,Dog,"Retriever, Labrador"
February 02 2007,721771,Misty,Dog,"Terrier, American Pit Bull"
February 05 2007,576271,Emily,Dog,Shepherd
February 05 2007,76384,Ella,Dog,"Retriever, Labrador"
February 07 2007,76213,Copper,Dog,"Terrier, Jack Russell"
February 07 2007,75651,Sabrina,Dog,"Terrier, Yorkshire"
February 10 2007,431789,Morgan,Dog,Newfoundland
February 12 2007,76660,Mochi DePina,Dog,"Retriever, Golden"
February 14 2007,15175,Rosie,Dog,Rottweiler
February 16 2007,76118,Mazi,Dog,Rottweiler
February 18 2007,75588,Ruby,Dog,"Setter, Irish"
February 24 2007,955144,Bugg,Dog,"Terrier, Boston"
February 25 2007,76157,Diva,Dog,Terrier
February 25 2007,76124,Butch,Dog,"Poodle, Standard"
February 26 2007,21071,Rosie,Dog,Border Collie
February 26 2007,21012,Scout,Dog,Shepherd
March 04 2007,132993,Lucy,Dog,"Terrier, American Pit Bull"
March 13 2007,207223,Abbey,Dog,Beagle
March 13 2007,207225,Marco,Dog,Beagle
March 13 2007,207635,Zena,Dog,Siberian Husky
March 15 2007,207235,Abby,Dog,Italian Greyhound
March 17 2007,74661,Sasha,Dog,Chinese Shar-Pei
March 23 2007,130289,Beulah,Dog,"Terrier, Boston"
March 23 2007,130290,Winnie,Dog,Border Collie
March 24 2007,572121,Ona,Dog,"Retriever, Labrador"
March 24 2007,134216,Pearl,Dog,"Terrier, Airedale"
March 26 2007,134405,Maxi,Dog,"Poodle, Toy"
April 02 2007,207690,Frankie,Dog,Lhasa Apso
April 02 2007,70832,Hannah,Dog,Shetland Sheepdog
April 04 2007,207729,Lady,Dog,German Shepherd
April 06 2007,206975,Angel,Dog,"Retriever, Golden"
April 11 2007,351707,Bambi,Dog,"Retriever, Labrador"
April 12 2007,207924,Shelby,Dog,Xoloitzcuintli
April 12 2007,205499,Chenmie,Dog,Boxer
April 19 2007,208987,Iceiss,Dog,"Retriever, Labrador"
April 24 2007,209037,Lola,Dog,Pug
April 24 2007,79482,Brielle,Dog,"Retriever, Labrador"
April 28 2007,77852,Brandy,Dog,"Retriever, Golden"
May 01 2007,275801,Lady,Dog,"Dachshund, Standard Smooth Haired"
May 01 2007,126530,Madison,Dog,"Terrier, American Pit Bull"
May 04 2007,205640,Summit,Dog,"Retriever, Golden"
May 05 2007,351714,Maggie,Dog,German Shepherd
May 08 2007,265737,Bella,Dog,"Terrier, Scottish"
May 09 2007,274344,Honey,Dog,"Retriever, Golden"
May 11 2007,271840,Noelle,Dog,Alaskan Malamute
May 16 2007,276120,Bella,Dog,"Chihuahua, Short Coat"
May 16 2007,276110,Star,Dog,"Chihuahua, Short Coat"
May 17 2007,276408,Big Barda,Dog,Shiba Inu
May 19 2007,274479,Avery,Dog,"Terrier, American Pit Bull"
May 23 2007,205137,Nina,Dog,"Retriever, Golden"
June 03 2007,351804,Chloe,Dog,"Terrier, Jack Russell"
June 04 2007,352510,Ginger,Dog,Lhasa Apso
June 05 2007,256259,Peenut,Dog,Spaniel
June 09 2007,275728,Senorita,Dog,"Poodle, Miniature"
June 15 2007,354688,Tali,Dog,"Retriever, Labrador"
June 19 2007,352731,Otter,Dog,"Retriever, Labrador"
June 19 2007,352704,Zia,Dog,"Retriever, Labrador"
June 19 2007,352758,Bailey,Dog,"Retriever, Labrador"
June 25 2007,353836,Adia,Dog,"Chihuahua, Short Coat"
June 25 2007,353848,Cheyenne,Dog,"Chihuahua, Short Coat"
July 02 2007,436837,Pepper,Dog,Beagle
July 10 2007,426273,Charlotte,Dog,Great Dane
July 17 2007,437215,Metta,Dog,"Terrier, American Pit Bull"
July 18 2007,348006,Aggie,Dog,"Chihuahua, Short Coat"
July 18 2007,954618,Juju,Dog,"Chihuahua, Short Coat"
July 20 2007,431772,Gigi Josette,Dog,Lhasa Apso
July 21 2007,344140,Dottie,Dog,Xoloitzcuintli
July 23 2007,437480,Maddie,Dog,"Terrier, American Pit Bull"
July 24 2007,347581,Coco,Dog,"Terrier, Rat"
July 26 2007,437284,Digitty,Dog,Rottweiler
July 28 2007,437355,Coco,Dog,Border Collie
July 30 2007,205550,Elle,Dog,"Retriever, Golden"
August 01 2007,274283,Pinky,Dog,"Poodle, Toy"
August 03 2007,574620,Daisy,Dog,"Poodle, Standard"
August 05 2007,275731,MoMo,Dog,"Bulldog, English"
August 06 2007,577028,Kaiya,Dog,Shepherd
August 07 2007,432973,Libby,Dog,"Pointer, German Wirehaired"
August 08 2007,432885,Allie,Dog,Xoloitzcuintli
August 09 2007,576901,LC,Dog,"Terrier, American Pit Bull"
August 09 2007,436229,Ella,Dog,"Retriever, Golden"
August 14 2007,576578,Aneeka,Dog,"Retriever, Golden"
August 14 2007,577138,Lola,Dog,Bulldog
August 22 2007,577317,Big Shirley,Dog,Australian Cattle Dog
August 30 2007,577422,Kelly,Dog,"Retriever, Golden"
August 30 2007,432506,Ginger,Dog,"Retriever, Golden"
August 30 2007,205847,Payton,Dog,Boxer
September 02 2007,575611,Scout,Dog,"Retriever, Labrador"
September 04 2007,438334,Penny,Dog,"Vizsla, Smooth Haired"
September 04 2007,944745,Daisy,Dog,"Retriever, Labrador"
September 04 2007,571187,Lucy,Dog,"Retriever, Labrador"
September 06 2007,435338,Jezavel,Dog,Rottweiler
September 08 2007,720017,Stella,Dog,"Chihuahua, Short Coat"
September 09 2007,722905,Marta,Dog,"Dachshund, Miniature Smooth Haired"
September 09 2007,722906,Widget,Dog,"Dachshund, Standard Smooth Haired"
September 11 2007,722913,Indigo,Dog,"Retriever, Labrador"
September 18 2007,713148,Lois Lane,Dog,"Retriever, Labrador"
September 19 2007,565433,Dakota,Dog,"Terrier, Yorkshire"
September 21 2007,577482,Brockley,Dog,Pug
September 28 2007,723534,Sasha,Dog,"Terrier, Staffordshire Bull"
October 01 2007,826745,Gracie,Dog,Lhasa Apso
October 01 2007,723504,Dilli,Dog,Australian Shepherd
October 03 2007,721296,Candy,Dog,"Chihuahua, Short Coat"
October 09 2007,435130,Sally,Dog,"Schnauzer, Miniature"
October 09 2007,719541,Bandanna,Dog,Xoloitzcuintli
October 16 2007,723021,Puppy F,Dog,"Retriever, Labrador"
October 16 2007,436457,Edna,Dog,"Terrier, Boston"
October 18 2007,827384,Shade,Dog,"Terrier, American Staffordshire"
October 22 2007,827474,Domino,Dog,"Terrier, American Pit Bull"
October 22 2007,431464,Bj,Dog,"Retriever, Labrador"
October 26 2007,827395,Holly,Dog,"Terrier, American Pit Bull"
October 29 2007,572688,Rosie,Dog,"Retriever, Golden"
October 31 2007,572673,Pele,Dog,"Terrier, American Pit Bull"
November 07 2007,899269,Simone,Dog,Chinese Shar-Pei
November 09 2007,899408,Sheba,Dog,"Terrier, American Pit Bull"
November 13 2007,821727,Claire,Dog,Spaniel
November 16 2007,899486,Bacie,Dog,Xoloitzcuintli
November 21 2007,900270,Bella,Dog,"Terrier, Boston"
November 24 2007,900059,Taboo,Dog,Doberman Pinscher
November 26 2007,898697,Phoeve,Dog,Havanese
November 27 2007,888745,Abby,Dog,"Retriever, Labrador"
December 02 2007,126067,Chaquita,Dog,"Terrier, American Pit Bull"
December 02 2007,435599,Biscuit,Dog,Beagle
December 04 2007,827101,Leia,Dog,"Terrier, American Pit Bull"
December 07 2007,721005,Otis,Dog,Pointer
December 07 2007,721006,Sal,Dog,"Retriever, Labrador"
December 08 2007,572380,Star,Dog,"Retriever, Labrador"
December 10 2007,889789,Daisy,Dog,"Chihuahua, Short Coat"
December 10 2007,956624,Bertie,Dog,"Terrier, Jack Russell"
December 11 2007,956390,Maddy,Dog,"Retriever, Labrador"
December 20 2007,956517,Coco,Dog,"Retriever, Labrador"
December 26 2007,822247,Gustavia,Dog,"Schnauzer, Miniature"
December 28 2007,956183,Dasha,Dog,"Retriever, Labrador"
January 07 2008,78355,Booba,Dog,Pekingese
January 08 2008,22952,Morrigan,Dog,Samoyed
January 08 2008,22925,Gigi,Dog,Weimaraner
January 10 2008,22851,Orla,Dog,"Retriever, Golden"
January 22 2008,23346,Princess,Dog,Bichon Frise
January 28 2008,900095,Rickie,Dog,Beagle
January 28 2008,127169,Cheka,Dog,Rottweiler
January 29 2008,8776,Sasha,Dog,Basset Hound
February 02 2008,579184,Daisy,Dog,"Retriever, Labrador"
February 04 2008,78642,Kiyoshi,Dog,German Shepherd
February 12 2008,899478,Bella,Dog,"Retriever, Golden"
February 13 2008,77902,Harley,Dog,"Retriever, Labrador"
February 28 2008,951944,Sophie,Dog,Siberian Husky
February 29 2008,79065,Skyy,Dog,"Terrier, American Pit Bull"
March 03 2008,723565,Princess Nala,Dog,"Terrier, American Pit Bull"
March 12 2008,78136,Komet,Dog,Australian Shepherd
March 14 2008,78318,Lola,Dog,"Retriever, Labrador"
March 15 2008,723500,Sazzy,Dog,Miniature Pinscher
March 17 2008,135568,Giselle,Dog,German Shepherd
March 18 2008,135527,Kona,Dog,"Retriever, Labrador"
March 20 2008,135388,Shiloh,Dog,"Retriever, Labrador"
March 22 2008,21381,Zero,Dog,Shepherd
March 23 2008,207062,Taya,Dog,Chow Chow
March 26 2008,135676,Java,Dog,Xoloitzcuintli
March 28 2008,135498,Pixie,Dog,Shetland Sheepdog
March 31 2008,202006,Chrissy,Dog,"Poodle, Toy"
